pšenice ozimá,0.12
žito ozimé,0.17
ječmen jarní,0.15
ječmen ozimý,0.17
oves,0.1
kukuřice na zrno,0.61
luštěniny,0.05
brambory rané,0.6
brambory pozdní,0.44
louky,0.005
chmelnice,0.8
řepka ozimá,0.22
slunečnice,0.6
mák,0.5
ostatní olejniny,0.22
kukuřice na siláž,0.72
ostatní pícniny jednoleté,0.02
ostatní pícniny víceleté,0.01
zelenina,0.45
sady,0.45
